year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1996,1408781591263.65,24219.6228487767,22490,551436.126,22.6409084095338,12.7473392295008,41.8396792085145,21.0725528406536,11.1612947745096,58166950,12.6,10.9,,0.254626384215086,77.0878048780488,67500000000,4.40783977508545,,89.5001983642578,76.1574020385742
1997,1552483628028.81,26621.4800592777,24930,527343.936,23.8251558317213,13.0605545459875,41.2196885319577,20.3626629149813,11.9357294507779,58316954,12.5,10.8,,0.257553323280351,77.2109756097561,80472925280,,,90.1006011962891,75.9835968017578
1998,1638511096389.53,28014.8946994953,26400,531905.684,23.5208478919171,12.4776768382638,41.9267800295054,20.5567202422548,12.0275632675646,58487141,12.3,10.8,,0.291406085432392,77.190243902439,65964288925.2416,4.22991991043091,,,
1999,1665623685487.79,28383.6689052533,27720,530937.596,24.3307578240849,12.3195192382736,41.9593381721689,19.9036135175213,11.516616103107,58682466,11.9,10.8,,0.333405882184416,77.390243902439,63377205180.1452,4.02541017532349,,89.9029998779297,76.5242004394531
2000,1647951278559.54,27982.3557635787,28880,541784.582,23.5862995298858,12.0924877674374,43.2831238606927,19.5509929962583,10.3017907893653,58892514,11.5,10.3,4730165,0.357300887421605,77.7414634146342,63724753156.4655,4.07179021835327,,89.7380981445313,76.8231964111328
2001,1621510004318.41,27427.58750236,28630,545862.286,22.7564701049408,12.4173731187213,43.778242521567,19.6157149792733,10.8262964376226,59119673,11.3,10.2,,0.384975969564228,77.9926829268293,61954491497.2056,4.14388990402222,,89.8733978271484,75.7078018188477
2002,1768408273381.29,29785.986287584,28900,528642.054,23.6862352850658,11.8373470800954,44.2217434792644,19.1313380010772,10.8488969504926,59370479,11.3,10.2,,0.423337079636281,78.1439024390244,77266343630.3616,4.69248008728027,,89.7585983276367,74.8195037841797
2003,2038395102040.82,34173.9799764342,31990,540006.087,23.4002179386014,11.4643219479202,45.3443805658888,18.7915680306617,10.72916140219,59647577,11.7,10.2,,0.465641113602993,78.4463414634146,92889707969.8176,4.84832000732422,,89.7998962402344,75.6735000610352
2004,2398555474185.28,39983.9846746653,37690,539239.684,23.6454774152367,10.9300491870987,44.9217136635002,19.4120076596703,9.86697144588982,59987905,11.9,9.7,,0.568943113421317,78.7463414634146,105460725258.864,4.77277994155884,,89.6371002197266,74.2649993896484
2005,2520701818181.82,41732.640540022,42770,542580.321,23.9423891556058,10.396309893627,45.7742633907559,18.6821048667985,10.0667270373278,60401206,12,9.6,5926156,0.68661130607346,79.0487804878049,121561000000,4.97698020935059,,89.8993988037109,74.8382034301758
2006,2692612695492.18,44252.3158234429,45000,541458.219,24.1883086398888,10.239798696787,46.6734268491916,17.8525153512478,9.54183889846023,60846820,12.3,9.4,,0.73504867842129,79.2487804878049,127099000000,5.02086019515991,,89.9738998413086,74.6889038085938
2007,3074359743897.56,50134.3160971463,47760,528425.701,24.8412774527669,10.2733288577731,46.4563153351875,17.4259134938141,8.43664210382897,61322463,12.6,9.4,,0.778666112441256,79.4487804878049,148800000000,4.95340013504028,,89.6748962402344,74.7773971557617
2008,2890564338235.29,46767.5922156593,48420,520688.331,24.1525924176214,9.80079524428172,45.6261564505334,19.6153694736428,7.32700890761897,61806995,12.9,9.4,,0.787032622318939,79.6,139009000000,4.93553018569946,,85.2360992431641,69.8731994628906
2009,2382825985355.97,38262.1821338364,43940,471719.213,25.7511103370199,8.8413306627188,44.3873552207611,20.2625620482452,10.069874538926,62276270,12.7,9,,0.756390859593407,80.0512195121951,117810000000,5.13067007064819,,85.0110015869141,69.0730972290039
2010,2452899665124.47,39079.8426055813,41280,493207.833,24.5569514062205,9.07908810637361,43.8057087728865,21.7633858350286,8.83240667929347,62766365,12.9,8.9,7604583,0.783888646646516,80.4024390243902,134750000000,5.77046012878418,,84.8647003173828,67.7141036987305
2011,2634895693131.3,41652.5570850153,40720,447828.708,26.368363437329,8.77577084473636,44.9644225506294,19.0658638934501,10.8080732504418,63258918,12.8,8.7,,0.781677289298684,80.9512195121951,136475000000,5.67332983016968,,85.0252990722656,70.3929977416992
2012,2676605417645.99,42018.7254635533,41310,468572.927,24.9112784558123,8.30087423180126,45.8452350038951,20.1311347701896,10.9085227804939,63700300,12.8,8.9,,0.695315842711388,80.9048780487805,139389999999.999,,,83.6755981445313,68.0188980102539
2013,2753565033773.77,42938.4251760491,42250,458250.322,25.4858362609508,8.66945346200027,44.0521190020901,20.8275892738026,11.4340020904081,64128226,12.1,9,,0.669533807456598,81.0048780487805,144990000000,5.61871004104614,28.38829,84.0663986206055,68.061897277832
2014,3034729456047.18,46967.6681352092,43940,419820.162,28.452334248725,9.59690074539035,41.9306590819929,19.0613966261279,11.5812862238081,64613160,12,8.8,,0.753349499398544,81.3048780487805,167833724920.639,5.69341993331909,29.33262,83.6852035522461,67.5149993896484
2015,2896420586534.4,44472.1517014461,43860,,,,,,13.1204197977575,65128861,11.9,9.2,8543120,0.794967909295267,80.9560975609756,159040784663.136,5.63148021697998,,83.7657012939453,67.0876007080078
2016,2659238931670.25,40539.9196069162,42420,,,,,,,65595565,11.8,9.1,,0.714030265261993,81.1560975609756,143763250259.307,5.54179000854492,,83.7750015258789,68.2353973388672
2017,2637866340434.13,39953.573056328,40600,,,,,,,66023290,11.4,9.2,,0.649947160993822,81.1560975609756,143763250259.307,,,83.8398971557617,68.3407974243164
2018,,,,,,,,,,,,,,,,,,,,
